System,State,County,Requesting Party,Efforts to Remove Vulnerable Persons,Efforts to Remove Persons with/Suspend Arrests for Nonviolent Offenses,Efforts to Remove Rehabilitated People w/ Little Threat to Public Safety,Efforts for Early/Accelerated Release,Date,Source(s),Additional Notes
System-Wide,New York,New York City (5 boroughs),New York City Bar Association,X,X,,X,3/20/2020,https://s3.amazonaws.com/documents.nycbar.org/files/COVID_Prisons_Jails_Statement_FINAL.pdf,"Release individuals over 50 or with compromised immune systems/respiratory issues, low-level offenders, those charged with technical violations, those ending their terms of incarceration, noncitizens who are only held on immigration charges. Voluntary surrender dates should be extended so no one is required to report until the crisis has passed. Reduce new arrests, ICE should not arrest solely for immigration."
Jail,New York,Kings County (Brooklyn),Cardozo Civil Rights Clinic at Benjamin N. Cardozo School of Law & Private counsel,X,,,,3/30/2020,https://www.dropbox.com/s/pk48jafxadqo2jw/Chunn%20v%20Edge%20Motion%20for%20TRO%2030March2020%201_20_cv_01590%20EDNY.pdf?dl=0,"Motion for TRO in Chunn v. Edge litigation (EDNY); class action; named plaintiffs are 4 inmates in Metropolitan Detention Center (MDC) in Brooklyn, NY, with underlying medical conditions; requests immediate release of vulnerable inmates."
Prison,Oklahoma,,ACLU OK,X,,X,X,3/13/2020,https://www.acluok.org/sites/default/files/field_documents/acluok_doc_letter.pdf,
Jail,Oklahoma,,ACLU OK,X,X,X,X,3/16/2020,https://www.acluok.org/sites/default/files/field_documents/acluok_jail_admin_letter.pdf,
Prison,Oregon,,ACLU-OR + 5 others,,,,,,https://ojrc.info/covid19,
Immigration Detention,Pennsylvania,,ACLU PA,X,,,,3/13/2020,"letter sent, modeled after ACLU-MA",
Jail,Pennsylvania,Allegheny,Abolitionist Law Center (and several other endorsing organizations),X,X,,X,3/16/2020,https://docs.google.com/forms/d/e/1FAIpQLScmkAnJSzjnmy9zz0G87jJh02A7MVWRMPTFBN50fZMTpmir8g/viewform,
System-Wide,Pennsylvania,Philadelphia,Philadelphia Public Defenders Union,X,X,X,X,3/21/2020,https://twitter.com/DefUnionPhila/status/1241488446956408833?s=20,
Immigration Detention,Pennsylvania,York,Immigrant detainees held and York County Prison,,,,,3/28/2020,https://www.inquirer.com/news/coronavirus-covid-19-immigrants-hunger-strike-york-prison-20200328.html,
System-Wide,Texas,State-wide,Texas Criminal Justice Coalition,X,,,X,3/16/2020,https://www.texascjc.org/blog/mitigating-disaster-urgent-and-just-responses-covid-19-texas-justice-system,Letter was accompanied by a petition; still collecting signatures as of 3/30/2020: https://www.change.org/p/governor-greg-abbott-urgent-and-just-responses-to-covid-19-in-the-texas-justice-system?recruiter=1042923557&recruited_by_id=23fe2730-4f78-11ea-8dac-d7e5c6c62176&utm_source=share_petition&utm_medium=copylink&utm_campaign=petition_dashboard 
Jail,Texas,,"4 Texas DAs, along with national criminal justice organizations",X,,,X,4/15/2020,https://fairandjustprosecution.org/wp-content/uploads/2020/04/TX-COVID-Amicus-Release.pdf,"Amicus brief challenging Texas Governor Greg Abbott’s executive order restricting judges’ ability to release from jail individuals held pretrial and presumed innocent,"
Immigration Detention,Washington,Tacoma,"ACLU National Prison Project, ACLU Immigrants' Rights Project, Northwest Immigrant Rights Project",X,,,,3/16/2020,https://www.aclu.org/press-releases/aclu-sues-ice-release-immigrants-especially-vulnerable-covid-19?redirect=press-releases/aclu-and-nwirp-sue-ice-seeking-release-immigrants-especially-vulnerable-covid-19,Letter was accompanied by a petition; still collecting signatures as of 3/30/2020: https://www.change.org/p/governor-greg-abbott-urgent-and-just-responses-to-covid-19-in-the-texas-justice-system?recruiter=1042923557&recruited_by_id=23fe2730-4f78-11ea-8dac-d7e5c6c62176&utm_source=share_petition&utm_medium=copylink&utm_campaign=petition_dashboard 
Prison,Washington,,"ACLU, Civil Survival, Columbia Legal Svcs, Disability Rights WA, NW Immigrant Rights, Public Defender Association, Seattle U, Team Child, WA Defenders Association",X,,,X,3/16/2020,https://www.seattletimes.com/seattle-news/advocacy-groups-urge-inslee-to-release-thousands-from-washington-prisons-due-to-coronavirus-risks/,Letter was accompanied by a petition; still collecting signatures as of 3/30/2020: https://www.change.org/p/governor-greg-abbott-urgent-and-just-responses-to-covid-19-in-the-texas-justice-system?recruiter=1042923557&recruited_by_id=23fe2730-4f78-11ea-8dac-d7e5c6c62176&utm_source=share_petition&utm_medium=copylink&utm_campaign=petition_dashboard 
Immigration Detention,,,Immigrant Justice Network,,,,,3/19/2020,https://twitter.com/the_ILRC/status/1240725934895812608,Letter was accompanied by a petition; still collecting signatures as of 3/30/2020: https://www.change.org/p/governor-greg-abbott-urgent-and-just-responses-to-covid-19-in-the-texas-justice-system?recruiter=1042923557&recruited_by_id=23fe2730-4f78-11ea-8dac-d7e5c6c62176&utm_source=share_petition&utm_medium=copylink&utm_campaign=petition_dashboard 
Immigration Detention,,,Coalition of Medical Professionals,X,,X,,3/21/2020,https://docs.google.com/forms/d/e/1FAIpQLScB1YLk-MHzdJ2ahcxx25NRRqEnlRTk_xA6Q6cJTfZXUQV-Dg/viewform?fbclid=IwAR2f3G1G1msmNyu_RDCBX7eDJiu6IZfWywNZos_hgVlwqBoWOzNpjYbwy6c,Letter was accompanied by a petition; still collecting signatures as of 3/30/2020: https://www.change.org/p/governor-greg-abbott-urgent-and-just-responses-to-covid-19-in-the-texas-justice-system?recruiter=1042923557&recruited_by_id=23fe2730-4f78-11ea-8dac-d7e5c6c62176&utm_source=share_petition&utm_medium=copylink&utm_campaign=petition_dashboard 
